SMILES,CID,descriptors,datasets
B(=O)OB=O,518682,['odorless'],"[""sharma_2021b""]"
B(=O)O[O-].O.[Na+],23695970,['odorless'],"[""sharma_2021b""]"
B(=O)[O-].[Na+],145326,['odorless'],"[""sharma_2021b""]"
B(F)(F)F.C[C@]12CCCC([C@H]3[C@H]1CC[C@@H]3C2=C)(C)C.C(=O)O,163267,"['acidic', 'neutral', 'dry']","[""ifra_2019""]"
B(O)(O)O,7628,['odorless'],"[""sharma_2021b""]"
B([O-])([O-])[O-].B([O-])([O-])[O-].[Zn+2].[Zn+2].[Zn+2],167155,['odorless'],"[""sharma_2021b""]"
B1(OB2OB(OB(O1)O2)[O-])[O-].[Na+].[Na+],10219853,['odorless'],"[""sharma_2021b""]"
B1(O[B-]2(OB(O[B-](O1)(O2)O)O)O)O.O.O.O.O.O.O.O.O.[Na+].[Na+],16722143,['odorless'],"[""goodscents""]"
Br[Hg].Br[Hg],24829,['odorless'],"[""sharma_2021b""]"
C#CC1(CCCCC1)OC(=O)N,3284,['odorless'],"[""sharma_2021b""]"
C#CC1=CC=CC=C1,10821,['metallic'],"[""arctander_1960""]"
C#CCO,7859,"['leafy', 'green', 'geranium', 'gassy', 'floral', 'fragrant', 'nature']","[""arctander_1960"", ""goodscents"", ""sharma_2021b""]"
C#N,768,"['woody', 'almond', 'sweet', 'characteristic', 'bitter']","[""arctander_1960"", ""flavordb""]"
C(#N)N=C(N)N,10005,['odorless'],"[""sharma_2021b""]"
C(#N)[Hg]C#N,11591,['odorless'],"[""sharma_2021b""]"
C(#N)[S-].C(#N)[S-].[Hg+2],11615,['odorless'],"[""sharma_2021b""]"
C(#N)[S-].C(#N)[S-].[Pb+2],11616,['odorless'],"[""sharma_2021b""]"
C(#N)[S-].[NH4+],15666,['odorless'],"[""sharma_2021b""]"
C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,643757,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,444212,"['dry', 'vegetable', 'musty', 'nutty', 'toasted', 'pleasant winey-acid taste', 'practically odorless', 'odorless', 'bakery', 'toasty', 'caramel', 'earthy', 'moldy', 'food', 'popcorn', 'sharp', 'pungent', 'sweet', 'woody', 'resinous']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(/C=C/CO)O,175854,['odorless'],"[""sharma_2021b""]"
C(/C=C\CO)O,643790,['odorless'],"[""sharma_2021b""]"
C(=C(F)F)(C(F)(F)F)C(F)(F)F,61109,['odorless'],"[""sharma_2021b""]"
C(=C(F)F)(C(F)(F)F)F,8302,['odorless'],"[""sharma_2021b""]"
C(=C(F)F)(F)F,8301,['odorless'],"[""sharma_2021b""]"
C(=C/C(=O)O)\C(=O)O,444972,"['odorless', 'odorless with a clean', 'tart', 'acidic-sour taste']","[""flavordb"", ""leffingwell"", ""sharma_2021b""]"
C(=C/C(=O)O)\C(=O)O.[Na+],10197734,['odorless'],"[""goodscents""]"
C(=C/C(=O)[O-])\C(=O)[O-].[Na+].[Na+],6364607,['odorless'],"[""sharma_2021b""]"
